source_primal,as_of,boxes_on_hand,velocity_tier
Striploin Whole,2025-05-13,9.4,medium
Pork Loin,2025-05-13,22.1,best
Chuck Flat,2025-05-13,19.6,best
Pork Belly,2025-05-13,17.8,best
Chuck Primal,2025-05-13,20.4,best
Blade Eyes,2025-05-13,20.0,best
Tenderloin,2025-05-14,1.1,low
Shank,2025-05-14,5.9,low
Wagyu Flat Iron,2025-05-14,4.8,low
6X6 Frenched,2025-05-14,5.0,low
Plate,2025-05-14,5.6,low
Flank,2025-05-14,0.0,low
Bone-in Ribeye,2025-05-14,10.6,medium
Brisket,2025-05-14,9.5,medium
Pork Shoulder,2025-05-14,10.7,medium
Top Sirloin Butt,2025-05-14,11.2,medium
Round,2025-05-14,11.1,medium
Striploin Whole,2025-05-14,8.4,medium
Pork Loin,2025-05-14,23.3,best
Chuck Flat,2025-05-14,15.3,best
Pork Belly,2025-05-14,21.2,best
Chuck Primal,2025-05-14,22.0,best
Blade Eyes,2025-05-14,24.2,best
Tenderloin,2025-05-15,1.7,low
Shank,2025-05-15,5.3,low
Wagyu Flat Iron,2025-05-15,5.0,low
6X6 Frenched,2025-05-15,5.5,low
Plate,2025-05-15,4.9,low
Flank,2025-05-15,0.0,low
Bone-in Ribeye,2025-05-15,9.9,medium
Brisket,2025-05-15,8.4,medium
Pork Shoulder,2025-05-15,9.0,medium
Top Sirloin Butt,2025-05-15,11.0,medium
Round,2025-05-15,10.1,medium
Striploin Whole,2025-05-15,10.0,medium
Pork Loin,2025-05-15,23.6,best
Chuck Flat,2025-05-15,10.9,best
Pork Belly,2025-05-15,22.2,best
Chuck Primal,2025-05-15,21.6,best
Blade Eyes,2025-05-15,23.2,best
Tenderloin,2025-05-16,1.4,low
Shank,2025-05-16,5.4,low
Wagyu Flat Iron,2025-05-16,4.8,low
6X6 Frenched,2025-05-16,5.0,low
Plate,2025-05-16,5.2,low
Flank,2025-05-16,4.8,low
Bone-in Ribeye,2025-05-16,8.9,medium
Brisket,2025-05-16,8.4,medium
Pork Shoulder,2025-05-16,6.8,medium
Top Sirloin Butt,2025-05-16,8.9,medium
Round,2025-05-16,8.1,medium
Striploin Whole,2025-05-16,9.8,medium
Pork Loin,2025-05-16,22.4,best
Chuck Flat,2025-05-16,20.6,best
Pork Belly,2025-05-16,21.5,best
Chuck Primal,2025-05-16,20.8,best
Blade Eyes,2025-05-16,21.9,best
Tenderloin,2025-05-17,1.1,low
Shank,2025-05-17,5.6,low
Wagyu Flat Iron,2025-05-17,5.0,low
6X6 Frenched,2025-05-17,5.5,low
Plate,2025-05-17,5.8,low
Flank,2025-05-17,5.2,low
Bone-in Ribeye,2025-05-17,9.5,medium
Brisket,2025-05-17,8.0,medium
Pork Shoulder,2025-05-17,2.9,medium
Top Sirloin Butt,2025-05-17,8.5,medium
Round,2025-05-17,11.5,medium
Striploin Whole,2025-05-17,9.6,medium
Pork Loin,2025-05-17,22.6,best
Chuck Flat,2025-05-17,21.9,best
Pork Belly,2025-05-17,20.0,best
Chuck Primal,2025-05-17,19.6,best
Blade Eyes,2025-05-17,19.7,best
Tenderloin,2025-05-18,0.3,low
Shank,2025-05-18,2.9,low
Wagyu Flat Iron,2025-05-18,0.0,low
6X6 Frenched,2025-05-18,3.1,low
Plate,2025-05-18,0.6,low
Flank,2025-05-18,0.5,low
Bone-in Ribeye,2025-05-18,5.7,medium
Brisket,2025-05-18,4.9,medium
Pork Shoulder,2025-05-18,0.0,medium
Top Sirloin Butt,2025-05-18,3.8,medium
Round,2025-05-18,2.5,medium
Striploin Whole,2025-05-18,1.2,medium
Pork Loin,2025-05-18,8.0,best
Chuck Flat,2025-05-18,11.9,best
Pork Belly,2025-05-18,0.0,best
Chuck Primal,2025-05-18,0.0,best
Blade Eyes,2025-05-18,0.0,best
Tenderloin,2025-05-20,1.6,low
Shank,2025-05-20,5.5,low
Wagyu Flat Iron,2025-05-20,5.2,low
6X6 Frenched,2025-05-20,5.2,low
Plate,2025-05-20,5.1,low
Flank,2025-05-20,5.6,low
Bone-in Ribeye,2025-05-20,9.5,medium
Brisket,2025-05-20,10.1,medium
Pork Shoulder,2025-05-20,8.4,medium
Top Sirloin Butt,2025-05-20,10.2,medium
Round,2025-05-20,10.9,medium
Striploin Whole,2025-05-20,8.6,medium
Pork Loin,2025-05-20,17.9,best
Chuck Flat,2025-05-20,20.1,best
Pork Belly,2025-05-20,19.4,best
Chuck Primal,2025-05-20,24.9,best
Blade Eyes,2025-05-20,0.0,best
Tenderloin,2025-05-21,1.6,low
Shank,2025-05-21,4.7,low
Wagyu Flat Iron,2025-05-21,5.4,low
6X6 Frenched,2025-05-21,5.2,low
Plate,2025-05-21,5.0,low
Flank,2025-05-21,3.9,low
Bone-in Ribeye,2025-05-21,11.0,medium
Brisket,2025-05-21,9.3,medium
Pork Shoulder,2025-05-21,10.8,medium
Top Sirloin Butt,2025-05-21,11.6,medium
Round,2025-05-21,8.8,medium
Striploin Whole,2025-05-21,8.6,medium
Pork Loin,2025-05-21,23.2,best
Chuck Flat,2025-05-21,15.7,best
Pork Belly,2025-05-21,23.1,best
Chuck Primal,2025-05-21,22.3,best
Blade Eyes,2025-05-21,0.0,best
Tenderloin,2025-05-22,1.4,low
Shank,2025-05-22,3.8,low
Wagyu Flat Iron,2025-05-22,5.9,low
6X6 Frenched,2025-05-22,5.5,low
Plate,2025-05-22,5.3,low
Flank,2025-05-22,2.3,low
Bone-in Ribeye,2025-05-22,10.1,medium
Brisket,2025-05-22,9.1,medium
Pork Shoulder,2025-05-22,11.5,medium
Top Sirloin Butt,2025-05-22,11.8,medium
Round,2025-05-22,8.0,medium
Striploin Whole,2025-05-22,5.4,medium
Pork Loin,2025-05-22,20.7,best
Chuck Flat,2025-05-22,11.4,best
Pork Belly,2025-05-22,23.3,best
Chuck Primal,2025-05-22,20.5,best
Blade Eyes,2025-05-22,0.0,best
Tenderloin,2025-05-23,1.6,low
Shank,2025-05-23,3.0,low
Wagyu Flat Iron,2025-05-23,5.4,low
6X6 Frenched,2025-05-23,5.4,low
Plate,2025-05-23,5.6,low
Flank,2025-05-23,0.6,low
Bone-in Ribeye,2025-05-23,9.1,medium
Brisket,2025-05-23,10.0,medium
Pork Shoulder,2025-05-23,9.9,medium
Top Sirloin Butt,2025-05-23,10.7,medium
Round,2025-05-23,7.8,medium
Striploin Whole,2025-05-23,2.1,medium
Pork Loin,2025-05-23,14.9,best
Chuck Flat,2025-05-23,7.0,best
Pork Belly,2025-05-23,23.5,best
Chuck Primal,2025-05-23,22.9,best
Blade Eyes,2025-05-23,21.1,best
Tenderloin,2025-05-24,1.3,low
Shank,2025-05-24,5.7,low
Wagyu Flat Iron,2025-05-24,5.7,low
6X6 Frenched,2025-05-24,4.9,low
Plate,2025-05-24,5.6,low
Flank,2025-05-24,4.8,low
Bone-in Ribeye,2025-05-24,11.2,medium
Brisket,2025-05-24,8.8,medium
Pork Shoulder,2025-05-24,11.3,medium
Top Sirloin Butt,2025-05-24,9.4,medium
Round,2025-05-24,8.4,medium
Striploin Whole,2025-05-24,0.0,medium
Pork Loin,2025-05-24,7.8,best
Chuck Flat,2025-05-24,1.9,best
Pork Belly,2025-05-24,19.6,best
Chuck Primal,2025-05-24,21.1,best
Blade Eyes,2025-05-24,20.2,best
Tenderloin,2025-05-25,0.7,low
Shank,2025-05-25,4.2,low
Wagyu Flat Iron,2025-05-25,2.7,low
6X6 Frenched,2025-05-25,3.5,low
Plate,2025-05-25,2.6,low
Flank,2025-05-25,2.1,low
Bone-in Ribeye,2025-05-25,9.0,medium
Brisket,2025-05-25,6.9,medium
Pork Shoulder,2025-05-25,8.3,medium
Top Sirloin Butt,2025-05-25,6.6,medium
Round,2025-05-25,3.1,medium
Striploin Whole,2025-05-25,0.0,medium
Pork Loin,2025-05-25,0.0,best
Chuck Flat,2025-05-25,0.0,best
Pork Belly,2025-05-25,7.8,best
Chuck Primal,2025-05-25,8.9,best
Blade Eyes,2025-05-25,3.1,best
Tenderloin,2025-05-26,1.4,low
Shank,2025-05-26,4.9,low
Wagyu Flat Iron,2025-05-26,4.5,low
6X6 Frenched,2025-05-26,5.6,low
Plate,2025-05-26,0.2,low
Flank,2025-05-26,4.1,low
Bone-in Ribeye,2025-05-26,8.1,medium
Brisket,2025-05-26,10.4,medium
Pork Shoulder,2025-05-26,10.3,medium
Top Sirloin Butt,2025-05-26,10.6,medium
Round,2025-05-26,7.6,medium
Striploin Whole,2025-05-26,7.6,medium
Pork Loin,2025-05-26,22.4,best
Chuck Flat,2025-05-26,18.5,best
Pork Belly,2025-05-26,18.4,best
Chuck Primal,2025-05-26,21.3,best
Blade Eyes,2025-05-26,22.6,best
Tenderloin,2025-05-27,1.6,low
Shank,2025-05-27,5.3,low
Wagyu Flat Iron,2025-05-27,2.8,low
6X6 Frenched,2025-05-27,5.1,low
Plate,2025-05-27,0.0,low
Flank,2025-05-27,5.2,low
Bone-in Ribeye,2025-05-27,6.8,medium
Brisket,2025-05-27,9.3,medium
Pork Shoulder,2025-05-27,10.7,medium
Top Sirloin Butt,2025-05-27,9.1,medium
Round,2025-05-27,9.1,medium
Striploin Whole,2025-05-27,9.1,medium
Pork Loin,2025-05-27,16.7,best
Chuck Flat,2025-05-27,20.2,best
Pork Belly,2025-05-27,19.9,best
Chuck Primal,2025-05-27,21.5,best
Blade Eyes,2025-05-27,21.5,best
Tenderloin,2025-05-28,1.4,low
Shank,2025-05-28,5.7,low
Wagyu Flat Iron,2025-05-28,1.2,low
6X6 Frenched,2025-05-28,5.5,low
Plate,2025-05-28,0.0,low
Flank,2025-05-28,5.1,low
Bone-in Ribeye,2025-05-28,5.4,medium
Brisket,2025-05-28,8.3,medium
Pork Shoulder,2025-05-28,9.3,medium
Top Sirloin Butt,2025-05-28,8.0,medium
Round,2025-05-28,8.3,medium
Striploin Whole,2025-05-28,10.4,medium
Pork Loin,2025-05-28,11.0,best
Chuck Flat,2025-05-28,21.7,best
Pork Belly,2025-05-28,19.8,best
Chuck Primal,2025-05-28,21.0,best
Blade Eyes,2025-05-28,19.6,best
Tenderloin,2025-05-29,1.8,low
Shank,2025-05-29,5.3,low
Wagyu Flat Iron,2025-05-29,0.0,low
6X6 Frenched,2025-05-29,5.7,low
Plate,2025-05-29,0.0,low
Flank,2025-05-29,4.8,low
Bone-in Ribeye,2025-05-29,4.1,medium
Brisket,2025-05-29,8.9,medium
Pork Shoulder,2025-05-29,8.2,medium
Top Sirloin Butt,2025-05-29,8.6,medium
Round,2025-05-29,9.1,medium
Striploin Whole,2025-05-29,8.7,medium
Pork Loin,2025-05-29,5.3,best
Chuck Flat,2025-05-29,19.8,best
Pork Belly,2025-05-29,23.0,best
Chuck Primal,2025-05-29,20.0,best
Blade Eyes,2025-05-29,18.4,best
Tenderloin,2025-05-30,1.6,low
Shank,2025-05-30,5.4,low
Wagyu Flat Iron,2025-05-30,0.0,low
6X6 Frenched,2025-05-30,5.1,low
Plate,2025-05-30,4.7,low
Flank,2025-05-30,5.9,low
Bone-in Ribeye,2025-05-30,2.8,medium
Brisket,2025-05-30,8.5,medium
Pork Shoulder,2025-05-30,10.2,medium
Top Sirloin Butt,2025-05-30,10.0,medium
Round,2025-05-30,9.8,medium
Striploin Whole,2025-05-30,8.4,medium
Pork Loin,2025-05-30,18.5,best
Chuck Flat,2025-05-30,20.1,best
Pork Belly,2025-05-30,22.9,best
Chuck Primal,2025-05-30,23.7,best
Blade Eyes,2025-05-30,20.6,best
Tenderloin,2025-05-31,1.2,low
Shank,2025-05-31,4.1,low
Wagyu Flat Iron,2025-05-31,5.1,low
6X6 Frenched,2025-05-31,5.6,low
Plate,2025-05-31,5.2,low
Flank,2025-05-31,3.7,low
Bone-in Ribeye,2025-05-31,9.0,medium
Brisket,2025-05-31,9.4,medium
Pork Shoulder,2025-05-31,9.8,medium
Top Sirloin Butt,2025-05-31,9.8,medium
Round,2025-05-31,11.1,medium
Striploin Whole,2025-05-31,8.1,medium
Pork Loin,2025-05-31,20.2,best
Chuck Flat,2025-05-31,22.5,best
Pork Belly,2025-05-31,22.5,best
Chuck Primal,2025-05-31,19.2,best
Blade Eyes,2025-05-31,23.0,best
Tenderloin,2025-06-01,0.6,low
Shank,2025-06-01,2.3,low
Wagyu Flat Iron,2025-06-01,1.5,low
6X6 Frenched,2025-06-01,3.9,low
Plate,2025-06-01,1.6,low
Flank,2025-06-01,0.4,low
Bone-in Ribeye,2025-06-01,6.3,medium
Brisket,2025-06-01,7.2,medium
Pork Shoulder,2025-06-01,6.2,medium
Top Sirloin Butt,2025-06-01,6.5,medium
Round,2025-06-01,4.8,medium
Striploin Whole,2025-06-01,2.2,medium
Pork Loin,2025-06-01,9.9,best
Chuck Flat,2025-06-01,15.4,best
Pork Belly,2025-06-01,8.3,best
Chuck Primal,2025-06-01,4.6,best
Blade Eyes,2025-06-01,2.4,best
Tenderloin,2025-06-02,1.6,low
Shank,2025-06-02,0.6,low
Wagyu Flat Iron,2025-06-02,4.6,low
6X6 Frenched,2025-06-02,4.9,low
Plate,2025-06-02,5.2,low
Flank,2025-06-02,0.0,low
Bone-in Ribeye,2025-06-02,7.5,medium
Brisket,2025-06-02,11.5,medium
Pork Shoulder,2025-06-02,7.8,medium
Top Sirloin Butt,2025-06-02,9.4,medium
Round,2025-06-02,0.0,medium
Striploin Whole,2025-06-02,6.6,medium
Pork Loin,2025-06-02,20.6,best
Chuck Flat,2025-06-02,21.8,best
Pork Belly,2025-06-02,21.8,best
Chuck Primal,2025-06-02,23.2,best
Blade Eyes,2025-06-02,22.7,best
Tenderloin,2025-06-03,1.9,low
Shank,2025-06-03,5.3,low
Wagyu Flat Iron,2025-06-03,5.9,low
6X6 Frenched,2025-06-03,5.6,low
Plate,2025-06-03,5.0,low
Flank,2025-06-03,0.0,low
Bone-in Ribeye,2025-06-03,10.3,medium
Brisket,2025-06-03,11.4,medium
Pork Shoulder,2025-06-03,8.2,medium
Top Sirloin Butt,2025-06-03,9.8,medium
Round,2025-06-03,0.0,medium
Striploin Whole,2025-06-03,8.9,medium
Pork Loin,2025-06-03,21.6,best
Chuck Flat,2025-06-03,23.9,best
Pork Belly,2025-06-03,20.1,best
Chuck Primal,2025-06-03,21.7,best
Blade Eyes,2025-06-03,19.2,best
Tenderloin,2025-06-04,1.6,low
Shank,2025-06-04,5.7,low
Wagyu Flat Iron,2025-06-04,5.4,low
6X6 Frenched,2025-06-04,5.2,low
Plate,2025-06-04,5.3,low
Flank,2025-06-04,5.5,low
Bone-in Ribeye,2025-06-04,10.5,medium
Brisket,2025-06-04,10.0,medium
Pork Shoulder,2025-06-04,11.2,medium
Top Sirloin Butt,2025-06-04,9.9,medium
Round,2025-06-04,0.0,medium
Striploin Whole,2025-06-04,8.3,medium
Pork Loin,2025-06-04,22.1,best
Chuck Flat,2025-06-04,21.0,best
Pork Belly,2025-06-04,22.5,best
Chuck Primal,2025-06-04,22.4,best
Blade Eyes,2025-06-04,21.8,best
Tenderloin,2025-06-05,1.3,low
Shank,2025-06-05,5.3,low
Wagyu Flat Iron,2025-06-05,5.6,low
6X6 Frenched,2025-06-05,5.6,low
Plate,2025-06-05,5.6,low
Flank,2025-06-05,5.0,low
Bone-in Ribeye,2025-06-05,11.4,medium
Brisket,2025-06-05,9.8,medium
Pork Shoulder,2025-06-05,11.2,medium
Top Sirloin Butt,2025-06-05,10.7,medium
Round,2025-06-05,0.0,medium
Striploin Whole,2025-06-05,10.1,medium
Pork Loin,2025-06-05,22.5,best
Chuck Flat,2025-06-05,19.6,best
Pork Belly,2025-06-05,24.4,best
Chuck Primal,2025-06-05,20.0,best
Blade Eyes,2025-06-05,20.8,best
Tenderloin,2025-06-06,1.1,low
Shank,2025-06-06,5.9,low
Wagyu Flat Iron,2025-06-06,5.1,low
6X6 Frenched,2025-06-06,5.2,low
Plate,2025-06-06,5.0,low
Flank,2025-06-06,5.1,low
Bone-in Ribeye,2025-06-06,9.5,medium
Brisket,2025-06-06,9.5,medium
Pork Shoulder,2025-06-06,9.9,medium
Top Sirloin Butt,2025-06-06,11.3,medium
Round,2025-06-06,9.8,medium
Striploin Whole,2025-06-06,10.7,medium
Pork Loin,2025-06-06,23.0,best
Chuck Flat,2025-06-06,21.7,best
Pork Belly,2025-06-06,23.4,best
Chuck Primal,2025-06-06,20.7,best
Blade Eyes,2025-06-06,20.4,best
Tenderloin,2025-06-07,1.1,low
Shank,2025-06-07,5.2,low
Wagyu Flat Iron,2025-06-07,5.1,low
6X6 Frenched,2025-06-07,5.6,low
Plate,2025-06-07,5.1,low
Flank,2025-06-07,5.3,low
Bone-in Ribeye,2025-06-07,9.8,medium
Brisket,2025-06-07,9.6,medium
Pork Shoulder,2025-06-07,8.4,medium
Top Sirloin Butt,2025-06-07,10.0,medium
Round,2025-06-07,8.3,medium
Striploin Whole,2025-06-07,11.7,medium
Pork Loin,2025-06-07,23.9,best
Chuck Flat,2025-06-07,20.2,best
Pork Belly,2025-06-07,21.0,best
Chuck Primal,2025-06-07,23.7,best
Blade Eyes,2025-06-07,17.5,best
Tenderloin,2025-06-08,0.3,low
Shank,2025-06-08,3.0,low
Wagyu Flat Iron,2025-06-08,0.9,low
6X6 Frenched,2025-06-08,3.6,low
Plate,2025-06-08,0.8,low
Flank,2025-06-08,1.4,low
Bone-in Ribeye,2025-06-08,6.7,medium
Brisket,2025-06-08,7.0,medium
Pork Shoulder,2025-06-08,4.2,medium
Top Sirloin Butt,2025-06-08,6.1,medium
Round,2025-06-08,0.9,medium
Striploin Whole,2025-06-08,4.9,medium
Pork Loin,2025-06-08,11.8,best
Chuck Flat,2025-06-08,11.9,best
Pork Belly,2025-06-08,4.4,best
Chuck Primal,2025-06-08,6.6,best
Blade Eyes,2025-06-08,0.0,best
Tenderloin,2025-06-09,1.4,low
Shank,2025-06-09,4.9,low
Wagyu Flat Iron,2025-06-09,4.7,low
6X6 Frenched,2025-06-09,4.9,low
Plate,2025-06-09,5.8,low
Flank,2025-06-09,5.4,low
Bone-in Ribeye,2025-06-09,9.4,medium
Brisket,2025-06-09,5.0,medium
Pork Shoulder,2025-06-09,8.4,medium
Top Sirloin Butt,2025-06-09,7.9,medium
Round,2025-06-09,9.7,medium
Striploin Whole,2025-06-09,10.0,medium
Pork Loin,2025-06-09,18.6,best
Chuck Flat,2025-06-09,20.8,best
Pork Belly,2025-06-09,19.8,best
Chuck Primal,2025-06-09,18.4,best
Blade Eyes,2025-06-09,22.1,best
Tenderloin,2025-06-10,1.4,low
Shank,2025-06-10,4.9,low
Wagyu Flat Iron,2025-06-10,5.5,low
6X6 Frenched,2025-06-10,5.5,low
Plate,2025-06-10,4.9,low
Flank,2025-06-10,4.9,low
Bone-in Ribeye,2025-06-10,9.6,medium
Brisket,2025-06-10,3.5,medium
Pork Shoulder,2025-06-10,8.4,medium
Top Sirloin Butt,2025-06-10,8.7,medium
Round,2025-06-10,8.0,medium
Striploin Whole,2025-06-10,8.4,medium
Pork Loin,2025-06-10,20.8,best
Chuck Flat,2025-06-10,21.0,best
Pork Belly,2025-06-10,20.2,best
Chuck Primal,2025-06-10,22.9,best
Blade Eyes,2025-06-10,22.6,best
Tenderloin,2025-06-11,1.1,low
Shank,2025-06-11,5.5,low
Wagyu Flat Iron,2025-06-11,5.2,low
6X6 Frenched,2025-06-11,4.2,low
Plate,2025-06-11,4.5,low
Flank,2025-06-11,5.6,low
Bone-in Ribeye,2025-06-11,10.5,medium
Brisket,2025-06-11,2.0,medium
Pork Shoulder,2025-06-11,9.1,medium
Top Sirloin Butt,2025-06-11,6.5,medium
Round,2025-06-11,9.9,medium
Striploin Whole,2025-06-11,9.6,medium
Pork Loin,2025-06-11,19.1,best
Chuck Flat,2025-06-11,22.9,best
Pork Belly,2025-06-11,9.1,best
Chuck Primal,2025-06-11,19.4,best
Blade Eyes,2025-06-11,19.8,best
Tenderloin,2025-06-12,1.9,low
Shank,2025-06-12,5.4,low
Wagyu Flat Iron,2025-06-12,5.5,low
6X6 Frenched,2025-06-12,2.8,low
Plate,2025-06-12,5.2,low
Flank,2025-06-12,5.2,low
Bone-in Ribeye,2025-06-12,9.7,medium
Brisket,2025-06-12,8.1,medium
Pork Shoulder,2025-06-12,10.8,medium
Top Sirloin Butt,2025-06-12,4.4,medium
Round,2025-06-12,9.0,medium
Striploin Whole,2025-06-12,10.8,medium
Pork Loin,2025-06-12,21.4,best
Chuck Flat,2025-06-12,21.0,best
Pork Belly,2025-06-12,0.0,best
Chuck Primal,2025-06-12,20.1,best
Blade Eyes,2025-06-12,23.5,best
Tenderloin,2025-06-13,1.5,low
Shank,2025-06-13,5.2,low
Wagyu Flat Iron,2025-06-13,5.2,low
6X6 Frenched,2025-06-13,1.5,low
Plate,2025-06-13,5.2,low
Flank,2025-06-13,2.9,low
Bone-in Ribeye,2025-06-13,10.0,medium
Brisket,2025-06-13,9.8,medium
Pork Shoulder,2025-06-13,8.5,medium
Top Sirloin Butt,2025-06-13,2.3,medium
Round,2025-06-13,9.1,medium
Striploin Whole,2025-06-13,10.0,medium
Pork Loin,2025-06-13,20.0,best
Chuck Flat,2025-06-13,21.4,best
Pork Belly,2025-06-13,0.0,best
Chuck Primal,2025-06-13,21.7,best
Blade Eyes,2025-06-13,20.1,best
Tenderloin,2025-06-14,1.0,low
Shank,2025-06-14,5.1,low
Wagyu Flat Iron,2025-06-14,5.3,low
6X6 Frenched,2025-06-14,4.9,low
Plate,2025-06-14,5.5,low
Flank,2025-06-14,0.0,low
Bone-in Ribeye,2025-06-14,10.4,medium
Brisket,2025-06-14,10.6,medium
Pork Shoulder,2025-06-14,11.6,medium
Top Sirloin Butt,2025-06-14,0.0,medium
Round,2025-06-14,10.0,medium
Striploin Whole,2025-06-14,8.6,medium
Pork Loin,2025-06-14,20.0,best
Chuck Flat,2025-06-14,22.8,best
Pork Belly,2025-06-14,0.0,best
Chuck Primal,2025-06-14,19.0,best
Blade Eyes,2025-06-14,18.8,best
Tenderloin,2025-06-15,0.3,low
Shank,2025-06-15,2.9,low
Wagyu Flat Iron,2025-06-15,1.1,low
6X6 Frenched,2025-06-15,2.9,low
Plate,2025-06-15,1.3,low
Flank,2025-06-15,0.0,low
Bone-in Ribeye,2025-06-15,7.3,medium
Brisket,2025-06-15,8.0,medium
Pork Shoulder,2025-06-15,7.4,medium
Top Sirloin Butt,2025-06-15,0.0,medium
Round,2025-06-15,2.6,medium
Striploin Whole,2025-06-15,1.8,medium
Pork Loin,2025-06-15,8.0,best
Chuck Flat,2025-06-15,14.5,best
Pork Belly,2025-06-15,0.0,best
Chuck Primal,2025-06-15,1.9,best
Blade Eyes,2025-06-15,0.0,best
Tenderloin,2025-06-16,1.1,low
Shank,2025-06-16,5.9,low
Wagyu Flat Iron,2025-06-16,4.2,low
6X6 Frenched,2025-06-16,5.4,low
Plate,2025-06-16,4.2,low
Flank,2025-06-16,0.0,low
Bone-in Ribeye,2025-06-16,8.7,medium
Brisket,2025-06-16,10.0,medium
Pork Shoulder,2025-06-16,11.6,medium
Top Sirloin Butt,2025-06-16,7.2,medium
Round,2025-06-16,9.7,medium
Striploin Whole,2025-06-16,8.1,medium
Pork Loin,2025-06-16,22.7,best
Chuck Flat,2025-06-16,19.2,best
Pork Belly,2025-06-16,21.1,best
Chuck Primal,2025-06-16,22.2,best
Blade Eyes,2025-06-16,23.7,best
Tenderloin,2025-06-17,1.3,low
Shank,2025-06-17,4.7,low
Wagyu Flat Iron,2025-06-17,5.6,low
6X6 Frenched,2025-06-17,5.2,low
Plate,2025-06-17,5.0,low
Flank,2025-06-17,0.0,low
Bone-in Ribeye,2025-06-17,9.5,medium
Brisket,2025-06-17,9.8,medium
Pork Shoulder,2025-06-17,9.3,medium
Top Sirloin Butt,2025-06-17,9.7,medium
Round,2025-06-17,10.5,medium
Striploin Whole,2025-06-17,7.3,medium
Pork Loin,2025-06-17,14.7,best
Chuck Flat,2025-06-17,21.4,best
Pork Belly,2025-06-17,22.4,best
Chuck Primal,2025-06-17,21.0,best
Blade Eyes,2025-06-17,24.3,best
Tenderloin,2025-06-18,1.2,low
Shank,2025-06-18,3.5,low
Wagyu Flat Iron,2025-06-18,4.9,low
6X6 Frenched,2025-06-18,5.9,low
Plate,2025-06-18,4.8,low
Flank,2025-06-18,0.0,low
Bone-in Ribeye,2025-06-18,9.6,medium
Brisket,2025-06-18,11.7,medium
Pork Shoulder,2025-06-18,8.8,medium
Top Sirloin Butt,2025-06-18,10.5,medium
Round,2025-06-18,10.6,medium
Striploin Whole,2025-06-18,9.5,medium
Pork Loin,2025-06-18,6.6,best
Chuck Flat,2025-06-18,23.4,best
Pork Belly,2025-06-18,21.4,best
Chuck Primal,2025-06-18,19.5,best
Blade Eyes,2025-06-18,19.1,best
Tenderloin,2025-06-19,1.4,low
Shank,2025-06-19,2.4,low
Wagyu Flat Iron,2025-06-19,5.1,low
6X6 Frenched,2025-06-19,5.5,low
Plate,2025-06-19,5.2,low
Flank,2025-06-19,0.0,low
Bone-in Ribeye,2025-06-19,7.8,medium
Brisket,2025-06-19,10.8,medium
Pork Shoulder,2025-06-19,9.6,medium
Top Sirloin Butt,2025-06-19,11.5,medium
Round,2025-06-19,11.6,medium
Striploin Whole,2025-06-19,9.6,medium
Pork Loin,2025-06-19,0.0,best
Chuck Flat,2025-06-19,19.9,best
Pork Belly,2025-06-19,23.0,best
Chuck Primal,2025-06-19,24.4,best
Blade Eyes,2025-06-19,21.7,best
Tenderloin,2025-06-20,1.0,low
Shank,2025-06-20,1.2,low
Wagyu Flat Iron,2025-06-20,5.1,low
6X6 Frenched,2025-06-20,5.0,low
Plate,2025-06-20,5.1,low
Flank,2025-06-20,4.9,low
Bone-in Ribeye,2025-06-20,5.9,medium
Brisket,2025-06-20,10.8,medium
Pork Shoulder,2025-06-20,8.7,medium
Top Sirloin Butt,2025-06-20,9.4,medium
Round,2025-06-20,10.1,medium
Striploin Whole,2025-06-20,11.3,medium
Pork Loin,2025-06-20,19.2,best
Chuck Flat,2025-06-20,20.8,best
Pork Belly,2025-06-20,22.2,best
Chuck Primal,2025-06-20,19.1,best
Blade Eyes,2025-06-20,21.5,best
Tenderloin,2025-06-21,0.5,low
Shank,2025-06-21,5.3,low
Wagyu Flat Iron,2025-06-21,5.1,low
6X6 Frenched,2025-06-21,5.0,low
Plate,2025-06-21,5.3,low
Flank,2025-06-21,1.8,low
Bone-in Ribeye,2025-06-21,3.4,medium
Brisket,2025-06-21,10.1,medium
Pork Shoulder,2025-06-21,9.9,medium
Top Sirloin Butt,2025-06-21,7.9,medium
Round,2025-06-21,10.6,medium
Striploin Whole,2025-06-21,10.5,medium
Pork Loin,2025-06-21,22.6,best
Chuck Flat,2025-06-21,13.6,best
Pork Belly,2025-06-21,19.8,best
Chuck Primal,2025-06-21,19.8,best
Blade Eyes,2025-06-21,1.6,best
Tenderloin,2025-06-22,0.0,low
Shank,2025-06-22,3.1,low
Wagyu Flat Iron,2025-06-22,0.9,low
6X6 Frenched,2025-06-22,3.0,low
Plate,2025-06-22,1.1,low
Flank,2025-06-22,0.0,low
Bone-in Ribeye,2025-06-22,0.3,medium
Brisket,2025-06-22,7.5,medium
Pork Shoulder,2025-06-22,5.7,medium
Top Sirloin Butt,2025-06-22,4.1,medium
Round,2025-06-22,3.2,medium
Striploin Whole,2025-06-22,3.6,medium
Pork Loin,2025-06-22,10.5,best
Chuck Flat,2025-06-22,5.4,best
Pork Belly,2025-06-22,3.2,best
Chuck Primal,2025-06-22,2.8,best
Blade Eyes,2025-06-22,0.0,best
Tenderloin,2025-06-23,0.0,low
Shank,2025-06-23,5.6,low
Wagyu Flat Iron,2025-06-23,4.6,low
6X6 Frenched,2025-06-23,5.1,low
Plate,2025-06-23,5.6,low
Flank,2025-06-23,0.0,low
